id,dev_type,login
0,ml,dev_0
1,web,dev_1
2,ml,dev_2
3,web,dev_3
4,ml,dev_4
5,web,dev_5
6,ml,dev_6
7,web,dev_7
8,web,dev_8
9,ml,dev_9
10,ml,dev_10
11,ml,dev_11
12,ml,dev_12
13,web,dev_13
14,ml,dev_14
15,web,dev_15
16,web,dev_16
17,web,dev_17
18,web,dev_18
19,ml,dev_19
20,ml,dev_20
21,web,dev_21
22,web,dev_22
23,web,dev_23
24,web,dev_24
25,ml,dev_25
26,web,dev_26
27,ml,dev_27
28,web,dev_28
29,web,dev_29
30,web,dev_30
31,web,dev_31
32,web,dev_32
33,ml,dev_33
34,web,dev_34
35,ml,dev_35
36,ml,dev_36
37,web,dev_37
38,ml,dev_38
39,ml,dev_39
40,ml,dev_40
41,ml,dev_41
42,ml,dev_42
43,web,dev_43
44,ml,dev_44
45,web,dev_45
46,web,dev_46
47,web,dev_47
48,ml,dev_48
49,ml,dev_49
50,ml,dev_50
51,ml,dev_51
52,ml,dev_52
53,ml,dev_53
54,ml,dev_54
55,web,dev_55
56,ml,dev_56
57,web,dev_57
58,web,dev_58
59,ml,dev_59
60,ml,dev_60
61,web,dev_61
62,ml,dev_62
63,ml,dev_63
64,web,dev_64
65,web,dev_65
66,web,dev_66
67,ml,dev_67
68,web,dev_68
69,ml,dev_69
70,web,dev_70
71,ml,dev_71
72,web,dev_72
73,web,dev_73
74,web,dev_74
75,web,dev_75
76,ml,dev_76
77,ml,dev_77
78,web,dev_78
79,web,dev_79
80,web,dev_80
81,web,dev_81
82,ml,dev_82
83,web,dev_83
84,web,dev_84
85,web,dev_85
86,web,dev_86
87,web,dev_87
88,ml,dev_88
89,ml,dev_89
90,ml,dev_90
91,ml,dev_91
92,ml,dev_92
93,web,dev_93
94,web,dev_94
95,web,dev_95
96,ml,dev_96
97,ml,dev_97
98,ml,dev_98
99,web,dev_99
100,web,dev_100
101,ml,dev_101
102,ml,dev_102
103,ml,dev_103
104,ml,dev_104
105,web,dev_105
106,web,dev_106
107,ml,dev_107
108,web,dev_108
109,web,dev_109
110,ml,dev_110
111,ml,dev_111
112,web,dev_112
113,web,dev_113
114,web,dev_114
115,ml,dev_115
116,web,dev_116
117,ml,dev_117
118,web,dev_118
119,web,dev_119
120,ml,dev_120
121,ml,dev_121
122,web,dev_122
123,ml,dev_123
124,web,dev_124
125,web,dev_125
126,ml,dev_126
127,ml,dev_127
128,ml,dev_128
129,web,dev_129
130,ml,dev_130
131,web,dev_131
132,ml,dev_132
133,web,dev_133
134,web,dev_134
135,ml,dev_135
136,ml,dev_136
137,ml,dev_137
138,web,dev_138
139,ml,dev_139
140,web,dev_140
141,ml,dev_141
142,ml,dev_142
143,web,dev_143
144,ml,dev_144
145,ml,dev_145
146,web,dev_146
147,web,dev_147
148,ml,dev_148
149,ml,dev_149
150,web,dev_150
151,web,dev_151
152,ml,dev_152
153,ml,dev_153
154,ml,dev_154
155,ml,dev_155
156,ml,dev_156
157,web,dev_157
158,ml,dev_158
159,ml,dev_159
160,ml,dev_160
161,web,dev_161
162,web,dev_162
163,web,dev_163
164,web,dev_164
165,ml,dev_165
166,ml,dev_166
167,ml,dev_167
168,web,dev_168
169,web,dev_169
170,ml,dev_170
171,ml,dev_171
172,ml,dev_172
173,ml,dev_173
174,web,dev_174
175,ml,dev_175
176,ml,dev_176
177,web,dev_177
178,web,dev_178
179,web,dev_179
180,web,dev_180
181,ml,dev_181
182,web,dev_182
183,web,dev_183
184,ml,dev_184
185,ml,dev_185
186,ml,dev_186
187,web,dev_187
188,web,dev_188
189,web,dev_189
190,web,dev_190
191,ml,dev_191
192,web,dev_192
193,web,dev_193
194,ml,dev_194
195,ml,dev_195
196,web,dev_196
197,ml,dev_197
198,web,dev_198
199,web,dev_199
200,web,dev_200
201,web,dev_201
202,ml,dev_202
203,ml,dev_203
204,ml,dev_204
205,web,dev_205
206,web,dev_206
207,ml,dev_207
208,web,dev_208
209,ml,dev_209
210,web,dev_210
211,ml,dev_211
212,web,dev_212
213,web,dev_213
214,web,dev_214
215,web,dev_215
216,web,dev_216
217,ml,dev_217
218,web,dev_218
219,web,dev_219
220,web,dev_220
221,web,dev_221
222,web,dev_222
223,ml,dev_223
224,web,dev_224
225,web,dev_225
226,web,dev_226
227,web,dev_227
228,web,dev_228
229,web,dev_229
230,web,dev_230
231,ml,dev_231
232,web,dev_232
233,web,dev_233
234,web,dev_234
235,ml,dev_235
236,ml,dev_236
237,ml,dev_237
238,ml,dev_238
239,web,dev_239
240,ml,dev_240
